tag,tfidf_accuracy,tfidf_precision,tfidf_recall,tfidf_f1,bert_accuracy,bert_precision,bert_recall,bert_f1
slang,0.8033240997229917,0.5850340136054422,0.8958333333333334,0.7078189300411523,0.9390581717451524,0.8936170212765957,0.875,0.8842105263157894
repeated_letters,0.932601880877743,0.6826196473551638,0.8548895899053628,0.7591036414565826,0.9776645768025078,0.922077922077922,0.8958990536277602,0.9088
all_caps,0.8738461538461538,0.9094827586206896,0.9134199134199135,0.9114470842332614,0.9661538461538461,0.9867256637168141,0.9653679653679653,0.975929978118162
excessive_punctuation,0.8970398970398971,0.6253869969040248,0.8381742738589212,0.7163120567375887,0.9623552123552124,0.8976034858387799,0.8547717842323651,0.8756641870350691
sarcasm,0.9117647058823529,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.9656862745098039,0.6666666666666666,0.8333333333333334,0.7407407407407407
